id_estado,estado,ciudad,superficie_km2,lada,ambito,poblacion,altitud,centro,suroeste,noreste
2,Baja California,Ejido Quintana Roo,,658,R,2556,18,"(32.4682155, -115.0807016)","(32.4282155, -115.1207016)","(32.5082155, -115.0407016)"
2,Baja California,Ejido Sinaloa (Estación Kasey),,686,U,2877,11,"(32.54709, -115.2709541)","(32.50709, -115.3109541)","(32.58709, -115.2309541)"
2,Baja California,Ejido Yucatán,,658,R,1670,51,"(32.6046785, -115.0933412)","(32.5846785, -115.1133412)","(32.6246785, -115.0733412)"
2,Baja California,El Descanso,,665,R,489,8,,,
2,Baja California,El Hongo,,665,,,,"(32.5093796, -116.2970014)","(32.4693796, -116.3370014)","(32.5493796, -116.2570014)"
2,Baja California,El Indiviso,,658,,,,"(32.0249087, -114.9846534)","(32.0049087, -115.0046534)","(32.0449087, -114.9646534)"
2,Baja California,El Porvenir Guadalupe,,646,,,,"(32.0759127, -116.6267994)","(32.0559127, -116.6467994)","(32.0959127, -116.6067994)"
2,Baja California,El Rosario,,616,,,,"(30.0587704, -115.7249209)","(30.0187704, -115.7649209)","(30.0987704, -115.6849209)"
2,Baja California,El Sauzal,,646,,,,,,
2,Baja California,Ensenada,,646,,,,"(31.8658887, -116.6029835)","(31.6518752, -116.7568468)","(31.9462343, -116.4972675)"
2,Baja California,Erendira,,646,,,,"(31.2762332, -116.3740252)","(31.2562332, -116.3940252)","(31.2962332, -116.3540252)"
2,Baja California,Estación Coahuila (Km 57),,653,,,,,,
2,Baja California,Francisco R. Serrano,,646,,,,"(31.3306645, -115.5431461)","(31.3106645, -115.5631461)","(31.3506645, -115.5231461)"
2,Baja California,Guadalupe Victoria (Km 43),,658,,,,,,
2,Baja California,Héroes de la Independencia,,646,,,,"(31.611398, -115.891498)","(31.591398, -115.911498)","(31.631398, -115.871498)"
2,Baja California,Hermosillo,,658,,,,"(32.5112304, -114.9230875)","(32.4712304, -114.9630875)","(32.5512304, -114.8830875)"
2,Baja California,Ingeniero Francisco Murguía,,658,,,,,,
2,Baja California,Isla de Cedros,,616,,,,"(28.0963636, -115.1885764)","(28.0563636, -115.2285764)","(28.1363636, -115.1485764)"
2,Baja California,Islas Agrarias Grupo A,,686,,,,"(32.61188225, -115.32699444010774)","(32.6070361, -115.342276)","(32.6140108, -115.3110388)"
2,Baja California,Islas Agrarias Grupo B,,686,,,,"(32.599424150000004, -115.27206415581236)","(32.5962019, -115.2779692)","(32.6061712, -115.2663124)"
2,Baja California,Jalapa,,686,,,,"(32.4663573, -115.1981802)","(32.4463573, -115.2181802)","(32.4863573, -115.1781802)"
2,Baja California,La Bufadora,,646,,,,,,
